Epoch,Time,Train_Accuracy,Val_Accuracy
1,66.77,0.33,0.35
2,221.25,0.78,0.77
3,362.21,0.82,0.82
4,503.07,0.84,0.82
5,644.27,0.89,0.88
6,784.37,0.9,0.88
7,927.23,0.91,0.89
8,1069.13,0.92,0.9
9,1210.24,0.81,0.81
10,1351.67,0.91,0.89
11,1490.95,0.91,0.89
12,1632.25,0.94,0.91
13,1772.96,0.89,0.87
14,1913.82,0.93,0.9
15,2054.79,0.92,0.9
16,2195.01,0.95,0.91
17,2334.95,0.94,0.9
18,2476.48,0.97,0.92
19,2618.13,0.97,0.92
20,2759.34,0.95,0.91
21,2900.69,0.97,0.91
22,3040.48,0.97,0.92
23,3179.47,0.97,0.92
24,3320.75,0.97,0.92
25,3460.14,0.96,0.91
26,3600.41,0.98,0.92
27,3739.74,0.99,0.93
28,3878.55,0.99,0.93
29,4019.73,0.88,0.86
30,4159.78,0.99,0.93
31,4298.98,1,0.93
32,4437.18,0.99,0.92
33,4575.33,0.99,0.92
34,4713.96,1,0.92
35,4852.27,1,0.93
36,4991.55,0.97,0.91
37,5132.09,1,0.93
38,5271.92,0.99,0.92
39,5411.64,0.99,0.93
40,5552.43,1,0.93
